"ISO","variable","value","typeIneq","variable1"
"CAN","ES_ADCO",269,"average","ES_ADCO"
"CHL","ES_ADCO",213,"average","ES_ADCO"
"CZE","ES_ADCO",275,"average","ES_ADCO"
"DNK","ES_ADCO",275,"average","ES_ADCO"
"EST","ES_ADCO",275,"average","ES_ADCO"
"FIN","ES_ADCO",285,"average","ES_ADCO"
"FRA","ES_ADCO",258,"average","ES_ADCO"
"DEU","ES_ADCO",271,"average","ES_ADCO"
"GRC","ES_ADCO",253,"average","ES_ADCO"
"HUN","ES_ADCO",,"average","ES_ADCO"
"ISL","ES_ADCO",,"average","ES_ADCO"
"IRL","ES_ADCO",261,"average","ES_ADCO"
"ISR","ES_ADCO",253,"average","ES_ADCO"
"ITA","ES_ADCO",249,"average","ES_ADCO"
"JPN","ES_ADCO",292,"average","ES_ADCO"
"KOR","ES_ADCO",268,"average","ES_ADCO"
"LVA","ES_ADCO",,"average","ES_ADCO"
"LUX","ES_ADCO",,"average","ES_ADCO"
"MEX","ES_ADCO",,"average","ES_ADCO"
"NLD","ES_ADCO",282,"average","ES_ADCO"
"NZL","ES_ADCO",276,"average","ES_ADCO"
"NOR","ES_ADCO",278,"average","ES_ADCO"
"POL","ES_ADCO",263,"average","ES_ADCO"
"PRT","ES_ADCO",,"average","ES_ADCO"
"SVK","ES_ADCO",275,"average","ES_ADCO"
"SVN","ES_ADCO",257,"average","ES_ADCO"
"ESP","ES_ADCO",249,"average","ES_ADCO"
"SWE","ES_ADCO",279,"average","ES_ADCO"
"CHE","ES_ADCO",,"average","ES_ADCO"
"TUR","ES_ADCO",223,"average","ES_ADCO"
"GBR","ES_ADCO",266,"average","ES_ADCO"
"USA","ES_ADCO",261,"average","ES_ADCO"
"OECD","ES_ADCO",263,"average","ES_ADCO"
"AUS","ES_STCS",502,"average","ES_STCS"
"AUT","ES_STCS",492,"average","ES_STCS"
"BEL","ES_STCS",503,"average","ES_STCS"
"CAN","ES_STCS",523,"average","ES_STCS"
"CHL","ES_STCS",443,"average","ES_STCS"
"CZE","ES_STCS",491,"average","ES_STCS"
"DNK","ES_STCS",504,"average","ES_STCS"
"EST","ES_STCS",524,"average","ES_STCS"
"FIN","ES_STCS",523,"average","ES_STCS"
"FRA","ES_STCS",496,"average","ES_STCS"
"DEU","ES_STCS",508,"average","ES_STCS"
"GRC","ES_STCS",458,"average","ES_STCS"
"HUN","ES_STCS",474,"average","ES_STCS"
"ISL","ES_STCS",481,"average","ES_STCS"
"IRL","ES_STCS",509,"average","ES_STCS"
"ISR","ES_STCS",472,"average","ES_STCS"
"ITA","ES_STCS",485,"average","ES_STCS"
"JPN","ES_STCS",529,"average","ES_STCS"
"KOR","ES_STCS",519,"average","ES_STCS"
"LVA","ES_STCS",487,"average","ES_STCS"
"LUX","ES_STCS",483,"average","ES_STCS"
"MEX","ES_STCS",416,"average","ES_STCS"
"NLD","ES_STCS",508,"average","ES_STCS"
"NZL","ES_STCS",506,"average","ES_STCS"
"NOR","ES_STCS",504,"average","ES_STCS"
"POL","ES_STCS",504,"average","ES_STCS"
"PRT","ES_STCS",497,"average","ES_STCS"
"SVK","ES_STCS",463,"average","ES_STCS"
"SVN","ES_STCS",509,"average","ES_STCS"
"ESP","ES_STCS",491,"average","ES_STCS"
"SWE","ES_STCS",496,"average","ES_STCS"
"CHE","ES_STCS",506,"average","ES_STCS"
"TUR","ES_STCS",425,"average","ES_STCS"
"GBR","ES_STCS",500,"average","ES_STCS"
"USA","ES_STCS",488,"average","ES_STCS"
"OECD","ES_STCS",486,"average","ES_STCS"
"AUS","SC_SNTWS",93.6,"average","SC_SNTWS"
"AUT","SC_SNTWS",91.5,"average","SC_SNTWS"
